parent,child
unpleasant_person.n.01,unpleasant_woman.n.01
unpleasant_person.n.01,pain.n.04
unwelcome_person.n.01,unpleasant_person.n.01
gossip.n.03,cat.n.03
communicator.n.01,gossip.n.03
woman.n.01,cat.n.03
female.n.02,woman.n.01
man.n.01,bull.n.02
blunder.n.01,bull.n.04
mistake.n.01,blunder.n.01
nonaccomplishment.n.01,mistake.n.01
act.n.02,nonaccomplishment.n.01
act.n.02,activity.n.01
act.n.02,group_action.n.01
act.n.02,action.n.01
act.n.02,distribution.n.03
act.n.02,touch.n.05
act.n.02,propulsion.n.02
act.n.02,acquiring.n.01
act.n.02,speech_act.n.01
act.n.02,causing.n.01
act.n.02,hindrance.n.03
event.n.01,act.n.02
event.n.01,group_action.n.01
event.n.01,happening.n.01
event.n.01,social_event.n.01
policeman.n.01,bull.n.05
lawman.n.01,policeman.n.01
defender.n.01,lawman.n.01
preserver.n.03,defender.n.01
investor.n.01,bull.n.06
investor.n.01,bear.n.02
capitalist.n.02,investor.n.01
decree.n.01,bull.n.10
act.n.01,decree.n.01
legal_document.n.01,act.n.01
legal_document.n.01,written_agreement.n.01
legal_document.n.01,derivative_instrument.n.01
legal_document.n.01,security.n.04
legal_document.n.01,writ.n.01
legal_document.n.01,opinion.n.04
legal_document.n.01,law.n.02
legal_document.n.01,negotiable_instrument.n.01
legal_document.n.01,bill.n.01
legal_document.n.01,assignment.n.02
document.n.01,legal_document.n.01
document.n.01,commercial_document.n.01
writing.n.02,document.n.01
writing.n.02,matter.n.06
writing.n.02,sacred_text.n.01
written_communication.n.01,writing.n.02
communication.n.02,written_communication.n.01
communication.n.02,document.n.03
communication.n.02,signal.n.01
communication.n.02,auditory_communication.n.01
communication.n.02,message.n.02
communication.n.02,indication.n.01
communication.n.02,expressive_style.n.01
communication.n.02,language.n.01
undertaking.n.01,venture.n.01
undertaking.n.01,assignment.n.05
work.n.01,undertaking.n.01
work.n.01,wash.n.02
work.n.01,labor.n.02
work.n.01,investigation.n.02
work.n.01,duty.n.02
activity.n.01,work.n.01
activity.n.01,protection.n.01
activity.n.01,occupation.n.01
activity.n.01,pleasure.n.04
activity.n.01,game.n.01
activity.n.01,diversion.n.01
activity.n.01,wrongdoing.n.02
activity.n.01,turn.n.03
activity.n.01,control.n.05
activity.n.01,ceremony.n.03
activity.n.01,education.n.01
activity.n.01,ceremony.n.02
activity.n.01,practice.n.01
activity.n.01,market.n.01
activity.n.01,grouping.n.02
commercial_enterprise.n.02,venture.n.03
commerce.n.01,commercial_enterprise.n.02
transaction.n.01,commerce.n.01
group_action.n.01,transaction.n.01
group_action.n.01,social_control.n.01
group_action.n.01,due_process.n.01
group_action.n.01,assembly.n.06
imposition.n.01,taxation.n.03
enforcement.n.01,imposition.n.01
social_control.n.01,enforcement.n.01
social_control.n.01,management.n.01
number.n.02,quota.n.01
number.n.02,score.n.03
number.n.02,constant.n.02
number.n.02,cube.n.03
definite_quantity.n.01,number.n.02
definite_quantity.n.01,unit_of_measurement.n.01
allotment.n.01,quota.n.02
share.n.01,allotment.n.01
share.n.01,interest.n.05
share.n.01,dispensation.n.02
assets.n.01,share.n.01
assets.n.01,investment.n.02
assets.n.01,sum.n.01
assets.n.01,material_resource.n.01
assets.n.01,credit.n.02
assets.n.01,capital.n.01
assets.n.01,capital.n.02
possession.n.02,assets.n.01
possession.n.02,transferred_property.n.01
possession.n.02,property.n.01
relation.n.01,possession.n.02
relation.n.01,part.n.01
relation.n.01,relationship.n.01
trade_barrier.n.01,quota.n.03
protectionism.n.01,trade_barrier.n.01
economic_policy.n.01,protectionism.n.01
policy.n.02,economic_policy.n.01
argumentation.n.02,policy.n.02
reasoning.n.01,argumentation.n.02
thinking.n.01,reasoning.n.01
thinking.n.01,construction.n.03
higher_cognitive_process.n.01,thinking.n.01
higher_cognitive_process.n.01,decision_making.n.01
advantage.n.01,profit.n.02
asset.n.01,advantage.n.01
quality.n.01,asset.n.01
quality.n.01,power.n.01
quality.n.01,worth.n.02
quality.n.01,appearance.n.01
quality.n.01,ability.n.01
quality.n.01,morality.n.01
quality.n.01,clearness.n.02
attribute.n.02,quality.n.01
attribute.n.02,shape.n.02
attribute.n.02,property.n.02
attribute.n.02,trait.n.01
attribute.n.02,state.n.02
attribute.n.02,time.n.05
payment.n.01,payoff.n.01
payment.n.01,down_payment.n.01
payment.n.01,credit.n.05
cost.n.01,payment.n.01
cost.n.01,charge.n.03
outgo.n.01,cost.n.01
transferred_property.n.01,outgo.n.01
security_interest.n.01,mortgage.n.01
interest.n.05,security_interest.n.01
boundary.n.02,margin.n.01
line.n.04,boundary.n.02
line.n.04,straight_line.n.01
shape.n.02,line.n.04
shape.n.02,amorphous_shape.n.01
shape.n.02,round_shape.n.01
shape.n.02,figure.n.06
shape.n.02,solid.n.03
amount.n.02,margin.n.02
magnitude.n.01,amount.n.02
magnitude.n.01,extent.n.02
magnitude.n.01,dimension.n.01
property.n.02,magnitude.n.01
property.n.02,visual_property.n.01
property.n.02,physical_property.n.01
property.n.02,disposition.n.04
property.n.02,tactile_property.n.01
property.n.02,constitution.n.04
property.n.02,temporal_property.n.01
property.n.02,bodily_property.n.01
property.n.02,degree.n.01
property.n.02,extension.n.08
property.n.02,spatial_property.n.01
property.n.02,sound_property.n.01
down_payment.n.01,margin.n.03
space.n.07,margin.n.05
space.n.07,indentation.n.03
area.n.06,space.n.07
extent.n.02,area.n.06
extent.n.02,depth.n.01
extent.n.02,length.n.03
committedness.n.01,investment.n.03
seriousness.n.03,committedness.n.01
trait.n.01,seriousness.n.03
trait.n.01,emotionality.n.01
trait.n.01,character.n.03
skin.n.01,investment.n.04
body_covering.n.01,skin.n.01
covering.n.01,body_covering.n.01
covering.n.01,bark.n.01
natural_object.n.01,covering.n.01
natural_object.n.01,plant_part.n.01
natural_object.n.01,body.n.04
connective_tissue.n.01,skin.n.01
connective_tissue.n.01,bone.n.01
animal_tissue.n.01,connective_tissue.n.01
tissue.n.01,animal_tissue.n.01
