parent,child
mineral.n.01,beryl.n.01
mineral.n.01,opal.n.01
mineral.n.01,quartz.n.02
mineral.n.01,topaz.n.02
mineral.n.01,garnet.n.01
mineral.n.01,turquoise.n.01
mineral.n.01,zircon.n.01
mineral.n.01,spar.n.01
mineral.n.01,chrysoberyl.n.01
mineral.n.01,olivine.n.01
mineral.n.01,ore.n.01
mineral.n.01,earth_color.n.01
beryl.n.01,emerald.n.01
beryl.n.01,aquamarine.n.01
green.n.01,emerald.n.03
chromatic_color.n.01,green.n.01
chromatic_color.n.01,brown.n.01
chromatic_color.n.01,blue.n.01
chromatic_color.n.01,red.n.01
chromatic_color.n.01,yellow.n.01
chromatic_color.n.01,orange.n.02
chromatic_color.n.01,purple.n.01
chromatic_color.n.01,pink.n.01
chromatic_color.n.01,olive.n.05
chromatic_color.n.01,blond.n.02
chromatic_color.n.01,salmon.n.04
color.n.01,chromatic_color.n.01
color.n.01,achromatic_color.n.01
color.n.01,shade.n.02
visual_property.n.01,color.n.01
visual_property.n.01,light.n.07
property.n.02,visual_property.n.01
property.n.02,age.n.01
property.n.02,degree.n.01
property.n.02,magnitude.n.01
property.n.02,sound_property.n.01
property.n.02,temporal_property.n.01
property.n.02,physical_property.n.01
property.n.02,strength.n.01
property.n.02,size.n.02
property.n.02,bodily_property.n.01
property.n.02,tactile_property.n.01
property.n.02,constitution.n.04
property.n.02,manner.n.01
attribute.n.02,property.n.02
attribute.n.02,quality.n.01
attribute.n.02,shape.n.02
attribute.n.02,state.n.02
attribute.n.02,time.n.05
attribute.n.02,trait.n.01
attribute.n.02,inheritance.n.04
gather.v.01,pearl.v.01
gather.v.01,sponge.v.05
gather.v.01,pick.v.02
gather.v.01,nut.v.01
gather.v.01,club.v.04
gather.v.01,oyster.v.01
gather.v.01,clam.v.01
opaque_gem.n.01,opal.n.01
opaque_gem.n.01,jade.n.01
opaque_gem.n.01,turquoise.n.01
opaque_gem.n.01,chrysoberyl.n.01
opaque_gem.n.01,coral.n.02
quartz.n.02,topaz.n.01
quartz.n.02,amethyst.n.01
quartz.n.02,chalcedony.n.01
quartz.n.02,rock_crystal.n.01
chalcedony.n.01,onyx.n.01
chalcedony.n.01,bloodstone.n.01
art.n.01,gem.n.01
art.n.01,plastic_art.n.01
art.n.01,graphic_art.n.01
art.n.01,dance.n.01
creation.n.02,art.n.01
creation.n.02,piece.n.06
creation.n.02,representation.n.02
creation.n.02,product.n.02
creation.n.02,composition.n.09
creation.n.02,needlework.n.01
creation.n.02,master.n.06
precious_metal.n.01,gold.n.01
precious_metal.n.01,silver.n.02
precious_metal.n.01,bullion.n.01
valuable.n.01,precious_metal.n.01
treasure.n.01,valuable.n.01
wealth.n.03,treasure.n.01
wealth.n.03,gold.n.04
material_resource.n.01,wealth.n.03
assets.n.01,material_resource.n.01
assets.n.01,capital.n.02
assets.n.01,investment.n.02
assets.n.01,sum.n.01
assets.n.01,funds.n.01
possession.n.02,assets.n.01
possession.n.02,liabilities.n.01
possession.n.02,property.n.01
possession.n.02,transferred_property.n.01
noble_metal.n.01,gold.n.03
noble_metal.n.01,silver.n.01
noble_metal.n.01,platinum.n.01
metallic_element.n.01,noble_metal.n.01
metallic_element.n.01,uranium.n.01
metallic_element.n.01,iron.n.01
metallic_element.n.01,copper.n.01
metallic_element.n.01,aluminum.n.01
metallic_element.n.01,tin.n.01
metallic_element.n.01,zinc.n.01
metallic_element.n.01,lead.n.02
metallic_element.n.01,magnesium.n.01
metallic_element.n.01,nickel.n.01
metallic_element.n.01,sodium.n.01
metallic_element.n.01,mercury.n.01
metallic_element.n.01,potassium.n.01
metallic_element.n.01,manganese.n.01
metallic_element.n.01,tungsten.n.01
metallic_element.n.01,cobalt.n.01
metallic_element.n.01,titanium.n.01
metallic_element.n.01,chromium.n.01
metallic_element.n.01,cadmium.n.01
metallic_element.n.01,lithium.n.01
metallic_element.n.01,calcium.n.01
metallic_element.n.01,rubidium.n.01
metallic_element.n.01,beryllium.n.01
metallic_element.n.01,barium.n.01
metallic_element.n.01,francium.n.01
metallic_element.n.01,molybdenum.n.01
metallic_element.n.01,bismuth.n.01
metallic_element.n.01,cesium.n.01
metallic_element.n.01,radium.n.01
metallic_element.n.01,antimony.n.01
metallic_element.n.01,palladium.n.01
metallic_element.n.01,zirconium.n.01
metallic_element.n.01,californium.n.01
metallic_element.n.01,polonium.n.01
metallic_element.n.01,strontium.n.01
invaluableness.n.01,gold.n.05
value.n.02,invaluableness.n.01
worth.n.02,value.n.02
quality.n.01,worth.n.02
quality.n.01,immobility.n.02
quality.n.01,asset.n.01
quality.n.01,air.n.03
quality.n.01,appearance.n.01
quality.n.01,ability.n.01
quality.n.01,tone.n.10
quality.n.01,worthlessness.n.01
quality.n.01,destructiveness.n.01
quality.n.01,good.n.03
quality.n.01,bad.n.01
quality.n.01,infidelity.n.01
quality.n.01,immorality.n.01
quality.n.01,sameness.n.01
quality.n.01,difference.n.01
quality.n.01,power.n.01
quality.n.01,generality.n.02
quality.n.01,morality.n.01
conductor.n.02,silver.n.01
conductor.n.02,copper.n.01
conductor.n.02,semiconductor.n.01
plate.v.01,silver.v.01
plate.v.01,tin.v.01
plate.v.01,tin.v.03
plate.v.01,nickel.v.01
plate.v.01,chrome.v.01
coat.v.01,plate.v.01
coat.v.01,copper.v.01
coat.v.01,zinc.v.01
coat.v.01,finish.v.04
coat.v.01,plaster.v.05
coat.v.01,metal.v.01
coat.v.01,cement.v.02
coat.v.01,dredge.v.01
coat.v.01,tar.v.01
coat.v.01,glaze.v.01
coat.v.01,paint.v.02
cover.v.01,coat.v.01
cover.v.01,steel.v.02
cover.v.01,paper.v.01
cover.v.01,sheet.v.02
cover.v.01,canvas.v.03
cover.v.01,felt.v.02
cover.v.01,put_on.v.07
cover.v.01,line.v.02
cover.v.01,face.v.09
cover.v.01,daub.v.03
cover.v.01,lime.v.02
cover.v.01,grass.v.02
cover.v.01,bank.v.07
cover.v.01,butter.v.01
cover.v.01,oil.v.01
cover.v.01,wax.v.01
cover.v.01,dust.v.03
cover.v.01,frost.v.01
cover.v.01,frost.v.02
cover.v.01,frost.v.03
cover.v.01,jacket.v.01
cover.v.01,roof.v.01
cover.v.01,tile.v.01
cover.v.01,paint.v.04
cover.v.01,plaster.v.01
cover.v.01,plaster.v.02
cover.v.01,plaster.v.04
cover.v.01,concrete.v.01
cover.v.01,carpet.v.02
cover.v.01,carpet.v.03
cover.v.01,crown.v.04
cover.v.01,bark.v.02
cover.v.01,hood.v.01
color.v.01,silver.v.02
color.v.01,purple.v.02
color.v.01,azure.v.01
color.v.01,redden.v.02
color.v.01,tone.v.04
change.v.01,color.v.01
change.v.01,age.v.03
change.v.01,shape.v.03
change.v.01,fix.v.12
change.v.01,affect.v.01
change.v.01,mark.v.05
change.v.01,indispose.v.03
change.v.01,decrease.v.02
change.v.01,adjust.v.01
change.v.01,convert.v.02
change.v.01,better.v.02
change.v.01,mix.v.05
change.v.01,set.v.05
change.v.01,switch.v.04
change.v.01,decorate.v.01
change.v.01,corrupt.v.01
change.v.01,poison.v.03
change.v.01,wet.v.01
change.v.01,end.v.02
change.v.01,empty.v.01
change.v.01,increase.v.02
change.v.01,fill.v.01
change.v.01,port.v.08
change.v.01,dry.v.01
change.v.01,affect.v.02
change.v.01,charge.v.08
change.v.01,strengthen.v.01
change.v.01,string.v.07
change.v.01,spice.v.01
change.v.01,change_taste.v.01
change.v.01,sauce.v.03
change.v.01,clean.v.01
change.v.01,heat.v.01
change.v.01,cook.v.05
change.v.01,transform.v.02
change.v.01,disable.v.01
change.v.01,tighten.v.01
change.v.01,freeze.v.04
change.v.01,cool.v.01
change.v.01,clear.v.20
change.v.01,warm.v.02
change.v.01,damage.v.01
change.v.01,darken.v.03
change.v.01,equal.v.03
change.v.01,shift.v.05
change.v.01,substitute.v.01
change.v.01,shade.v.04
change.v.01,check.v.07
change.v.01,crack.v.11
change.v.01,straighten.v.02
change.v.01,barb.v.01
change.v.01,nick.v.03
change.v.01,ash.v.01
change.v.01,tender.v.04
discolor.v.03,silver.v.03
discolor.v.03,dye.v.01
discolor.v.03,blue.v.01
discolor.v.03,green.v.01
discolor.v.03,yellow.v.01
discolor.v.03,purple.v.01
discolor.v.03,tan.v.02
discolor.v.03,tone.v.03
discolor.v.03,whiten.v.01
change.v.02,discolor.v.03
change.v.02,change_magnitude.v.01
change.v.02,change_surface.v.01
change.v.02,adjust.v.03
change.v.02,change_shape.v.01
change.v.02,change_integrity.v.01
change.v.02,digest.v.04
change.v.02,spot.v.05
change.v.02,crack.v.01
change.v.02,felt.v.03
change.v.02,modify.v.01
change.v.02,change_posture.v.01
change.v.02,grow.v.08
change.v.02,form.v.07
change.v.02,strengthen.v.02
change.v.02,dress.v.01
change.v.02,change_by_reversal.v.01
change.v.02,change_state.v.01
change.v.02,undergo.v.01
change.v.02,rise.v.11
change.v.02,warm.v.01
change.v.02,dry.v.02
change.v.02,glaze.v.02
change.v.02,shift.v.06
change.v.02,shift.v.11
change.v.02,shade.v.05
change.v.02,swing.v.08
change.v.02,lighten.v.05
change.v.02,convert.v.11
change.v.02,fly.v.07
change.v.02,separate.v.12
change.v.02,dawn.v.03
change.v.02,gum.v.03
zircon.n.01,hyacinth.n.01
feldspar.n.01,moonstone.n.01
spar.n.01,feldspar.n.01
spar.n.01,calcite.n.01
component.n.03,crystal.n.02
component.n.03,heating_element.n.01
component.n.03,addition.n.01
component.n.03,ingredient.n.01
part.n.02,component.n.03
part.n.02,section.n.04
part.n.02,piece.n.01
part.n.02,seat.n.08
part.n.02,toe.n.04
part.n.02,neck.n.04
part.n.02,appendage.n.03
part.n.02,bit.n.10
part.n.02,butt.n.09
rock.n.01,crystal.n.03
rock.n.01,boulder.n.01
rock.n.01,sill.n.02
natural_object.n.01,rock.n.01
natural_object.n.01,celestial_body.n.01
natural_object.n.01,plant_part.n.01
natural_object.n.01,covering.n.01
natural_object.n.01,body.n.04
natural_object.n.01,mechanism.n.03
natural_object.n.01,body.n.01
natural_object.n.01,body.n.03
natural_object.n.01,carpet.n.02
glassware.n.01,crystal.n.05
glassware.n.01,glass.n.07
tableware.n.01,glassware.n.01
tableware.n.01,cutlery.n.02
tableware.n.01,crockery.n.01
tableware.n.01,flatware.n.01
ware.n.01,tableware.n.01
article.n.02,ware.n.01
article.n.02,notion.n.04
protective_covering.n.01,crystal.n.06
protective_covering.n.01,shield.n.01
protective_covering.n.01,housing.n.02
protective_covering.n.01,shelter.n.02
protective_covering.n.01,cap.n.04
protective_covering.n.01,roof.n.01
protective_covering.n.01,roof.n.02
protective_covering.n.01,shade.n.03
protective_covering.n.01,hood.n.09
covering.n.02,protective_covering.n.01
covering.n.02,folder.n.02
covering.n.02,footwear.n.02
covering.n.02,clothing.n.01
covering.n.02,top.n.09
covering.n.02,flap.n.01
covering.n.02,coating.n.01
covering.n.02,floor_cover.n.01
covering.n.02,cloth_covering.n.01
covering.n.02,finger.n.03
covering.n.02,toe.n.02
covering.n.02,thumb.n.02
covering.n.02,wrapping.n.01
covering.n.02,hood.n.05
covering.n.02,hood.n.06
chrysoberyl.n.01,alexandrite.n.01
anaglyph.n.02,cameo.n.01
glyptic_art.n.01,anaglyph.n.02
carving.n.01,glyptic_art.n.01
sculpture.n.01,carving.n.01
sculpture.n.01,marble.n.03
sculpture.n.01,bronze.n.02
sculpture.n.01,mobile.n.03
plastic_art.n.01,sculpture.n.01
solid_figure.n.01,sculpture.n.01
figure.n.06,solid_figure.n.01
figure.n.06,plane_figure.n.01
figure.n.06,subfigure.n.01
figure.n.06,pencil.n.03
shape.n.02,figure.n.06
shape.n.02,solid.n.03
shape.n.02,distorted_shape.n.01
shape.n.02,square.n.04
shape.n.02,amorphous_shape.n.01
shape.n.02,connection.n.06
shape.n.02,round_shape.n.01
shape.n.02,line.n.04
shape.n.02,angular_shape.n.01
shape.n.02,plane.n.02
shape.n.02,triangle.n.02
person.n.01,jewel.n.02
person.n.01,worker.n.01
person.n.01,relative.n.01
person.n.01,good_person.n.01
